Date,Store,Category,Product,Price (GEL)
2026-04-20,Spar,Eggs,Eggs at Spar,4.49
2026-04-20,Spar,Eggs,Eggs at Spar,4.49
2026-04-20,Spar,Eggs,Eggs at Spar,4.75
2026-04-20,Spar,Eggs,Eggs at Spar,5.19
2026-04-20,Spar,Eggs,Eggs at Spar,5.19
2026-04-20,Spar,Eggs,Eggs at Spar,6.95
2026-04-20,Spar,Eggs,Eggs at Spar,4.95
2026-04-20,Spar,Eggs,Eggs at Spar,3.2
2026-04-20,Spar,Eggs,Eggs at Spar,3.2
2026-04-20,Spar,Eggs,Eggs at Spar,3.49
2026-04-20,Spar,Bread,Bread at Spar,1.85
2026-04-20,Spar,Bread,Bread at Spar,1.25
2026-04-20,Spar,Bread,Bread at Spar,1.8
2026-04-20,Spar,Bread,Bread at Spar,1.5
2026-04-20,Spar,Bread,Bread at Spar,2.75
2026-04-20,Spar,Bread,Bread at Spar,5.45
2026-04-20,Spar,Bread,Bread at Spar,5.35
2026-04-20,Spar,Bread,Bread at Spar,3.95
2026-04-20,Spar,Bread,Bread at Spar,3.15
2026-04-20,Spar,Bread,Bread at Spar,2.65
2026-04-20,Spar,Rice,Rice at Spar,8.99
2026-04-20,Spar,Rice,Rice at Spar,8.99
2026-04-20,Spar,Rice,Rice at Spar,11.99
2026-04-20,Spar,Rice,Rice at Spar,5.99
2026-04-20,Spar,Rice,Rice at Spar,10.4
2026-04-20,Spar,Rice,Rice at Spar,8.45
2026-04-20,Spar,Rice,Rice at Spar,31.95
2026-04-20,Spar,Sunflower Oil,Sunflower Oil at Spar,13.4
2026-04-20,Spar,Sunflower Oil,Sunflower Oil at Spar,5.49
2026-04-20,Spar,Sunflower Oil,Sunflower Oil at Spar,7.8
2026-04-20,Spar,Sunflower Oil,Sunflower Oil at Spar,7.8
2026-04-20,Spar,Sunflower Oil,Sunflower Oil at Spar,7.6
2026-04-20,Spar,Butter,Butter at Spar,10.5
2026-04-20,Spar,Butter,Butter at Spar,22.95
2026-04-20,Spar,Butter,Butter at Spar,11.8
2026-04-20,Spar,Butter,Butter at Spar,6.99
2026-04-20,Spar,Butter,Butter at Spar,17.95
2026-04-20,Spar,Butter,Butter at Spar,2.95
2026-04-20,Spar,Butter,Butter at Spar,3.99
2026-04-20,Spar,Butter,Butter at Spar,2.75
2026-04-20,Spar,Butter,Butter at Spar,5.95
2026-04-20,Spar,Butter,Butter at Spar,2.99
2026-04-20,Spar,Sugar,Sugar at Spar,5.55
2026-04-20,Spar,Sugar,Sugar at Spar,12.55
2026-04-20,Spar,Sugar,Sugar at Spar,6.85
2026-04-20,Spar,Sugar,Sugar at Spar,5.99
2026-04-20,Spar,Sugar,Sugar at Spar,4.59
2026-04-20,Spar,Sugar,Sugar at Spar,8.99
2026-04-20,Spar,Sugar,Sugar at Spar,5.99
2026-04-20,Spar,Sugar,Sugar at Spar,6.49
2026-04-20,Spar,Sugar,Sugar at Spar,9.8
2026-04-20,Spar,Flour,Flour at Spar,5.99
2026-04-20,Spar,Flour,Flour at Spar,6.49
2026-04-20,Spar,Flour,Flour at Spar,9.8
2026-04-20,Spar,Flour,Flour at Spar,4.49
2026-04-20,Spar,Flour,Flour at Spar,12.55
2026-04-20,Spar,Flour,Flour at Spar,6.85
2026-04-20,Spar,Flour,Flour at Spar,4.59
2026-04-20,Spar,Flour,Flour at Spar,8.99
2026-04-20,Spar,Flour,Flour at Spar,5.99
2026-04-20,Spar,Flour,Flour at Spar,5.55
